         68004 function calls (66873 primitive calls) in 0.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      354    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      510    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:250(match)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
      443    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:173(append)
      633    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      633    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      478    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:161(__len__)
      750    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      317    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/posixpath.py:52(normcase)
      305    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:112(__init__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:853(show_results)
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1204(wait)
       59    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:265(_compile_charset)
       55    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:356(_escape)
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1911(_wait)
      214    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:287(tell)
       62    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:447(_simple)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1227(_close_pipe_fds)
      440    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       39    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       51    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:433(_uniq)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1898(_try_wait)
       26    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:85(opengroup)
      351    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:702(__init__)
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:560(_compile_info)
      201    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        9    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      390    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        6    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:435(_mk_bitmap)
      189    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       41    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:1059(tokeneater)
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/posixpath.py:150(dirname)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/contextlib.py:533(__exit__)
       15    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:740(_count_ctxmgr)
       41    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1588(_get_handles)
       57    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:82(groups)
       63    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:169(__setitem__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:1201(choose_backend)
       51    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/contextlib.py:130(__enter__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/contextlib.py:139(__exit__)
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/enum.py:986(__and__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/contextlib.py:496(callback)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1037(__exit__)
        6    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:437(<listcomp>)
        8    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:775(enable_by_count)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1178(poll)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:748(wrap_function)
        2    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:842(enable)
        2    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       26    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:612(unwrap)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/asyncio/coroutines.py:164(iscoroutinefunction)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/enum.py:359(__call__)
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:225(__init__)
       12    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:296(_class_escape)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1065(__del__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/linecache.py:52(checkcache)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:308(iscoroutinefunction)
       41    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x745520}
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:782(disable_by_count)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/contextlib.py:279(helper)
        2    0.000    0.000    0.000    0.000 {built-in method sys.settrace}
        3    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1851(_handle_exitstatus)
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1863(_internal_poll)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:290(_has_code_flag)
       38    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/os.py:805(fsencode)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:436(__init__)
        6    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:695(<genexpr>)
       32    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/linecache.py:36(getlines)
        8    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:379(iscode)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/contextlib.py:102(__init__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:1049(__init__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/contextlib.py:514(_push_exit_callback)
        4    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/enum.py:678(__new__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:516(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
        3    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:355(istraceback)
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:689(items)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/contextlib.py:446(_create_cb_wrapper)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/contextlib.py:452(__init__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:485(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:246(_cleanup)
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:928(fix_flags)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/types.py:176(__get__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:640(__init__)
        3    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:199(ismethod)
        4    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:619(isstring)
        6    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:1215(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:629(_is_wrapper)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/contextlib.py:448(_exit_wrapper)
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:849(disable)
        6    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:191(isclass)
        3    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:277(isfunction)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        6    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
